Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
1: +–[66a.2],,,,,,,,,,,,
,ན་,མྱ་,ངན་,ལས་,འདས་,,–[66a.2],པའི་,གནས་,དགྲ་,བཅོམ་,
1: +–[66a.3],,,,,,,,,,,,
,བ་,ཡང་,ཟང་,ཟིང་,མེད་,,–[66a.3],པའི་,དོན་,ཡིན་,པར་,
1: +–[66a.4],,,,,,,,,,,,
,གསོལ་,པ,།,_,བཅོམ་,,–[66a.4],ལྡན་,འདས་,ཕྱིར་,མི་,
1: +–[66a.5],,,,,,,,,,,,
,འགྱུར་,ལགས,།,_,བཀའ་,,–[66a.5],སྩལ་,པ,།,_,
1: +–[66a.6],,,,,,,,,,,,
,_,བཅོམ་,ལྡན་,འདས་,ཅི་,,–[66a.6],ལགས,།,_,བཅོམ་,
1: +–[66a.7],,,,,,,,,,,,
,སྒྱུ་,མ་,མཁན་,གྱིས་,བགྱིས་,,–[66a.7],པའི་,འཁྲུལ་,འཁོར་,གྱི་སྒྱུ་,
1: -གྱིསྒྱུ་+གྱི་སྒྱུ་,,,,,,,,,,,,
,བགྱིས་,–[66a.7],པའི་,འཁྲུལ་,འཁོར་,གྱིསྒྱུ་,གྱི་སྒྱུ་,མའི་,བུད་,མེད་,དང་,
1: +–[66b]–[66b.1],,,,,,,,,,,,
,དང་,།,_,གསང་,ཆེན་,,–[66b]–[66b.1],དང་,བྲལ་,བ་,དང་,
1: +–[66b.2],,,,,,,,,,,,
,སློབ་,དཔོན་,ལས་,ཕྱིར་,བཀུག་,,–[66b.2],ནས་,བུ་,ལ་,བྱམས་,
1: -ཕྱེདཔསློབ་+ཕྱེད་པ་སློབ་,,,,,,,,,,,,
,ཀྱིས་,བསྒྲིམས་,ཏེ་,ཡི་,གེ་,ཕྱེདཔསློབ་,ཕྱེད་པ་སློབ་,པར་,བྱེད་,ན,།,
1: -སྤྲོདཔའི་+སྤྲོད་པའི་–[66b.3],,,,,,,,,,,,
,ཕྱེད་,པ་,བསླབས་,པས་,བརྡ་,སྤྲོདཔའི་,སྤྲོད་པའི་–[66b.3],དོན་,ཤེས་,པར་,འགྱུར་,
1: -རྩ་ལ་+རྩལ་,,,,,,,,,,,,
,དང་,།,_,ཤེས་,པའི་,རྩ་ལ་,རྩལ་,དང་,མི་,ལྡན་,པའི་,
1: +–[66b.4],,,,,,,,,,,,
,དེ་,ལ་,གསང་,བ་,དང་,,–[66b.4],འདྲ་,བར་,གདའ་,བར་,
1: +–[66b.5],,,,,,,,,,,,
,བ་,ཞེས་,མི་,བགྱི་,ལགས་,,–[66b.5],སོ,།,_,།,
1: +–[66b.6],,,,,,,,,,,,
,མི་,བྱེད་,པ་,དེ་,བཞིན་,,–[66b.6],དུ་,ཁྱིམ་,བདག་,བྲན་,
1: +–[66b.7],,,,,,,,,,,,
,ཏོ,།,_,།,བརྡ་,,–[66b.7],སྤྲོད་,དང་,འདྲ་,བར་,
1: +–[67a]–[67a.1],,,,,,,,,,,,
,གྱུར་,པ་,དེའི་,ཚེ་,ཁྱིམ་,,–[67a]–[67a.1],བདག་,བྲན་,གཟའ་ཅན་,གྱིས་,
1: +–[67a.2],,,,,,,,,,,,
,བཞིན་,དུ་,ང་,ཡང་,ཉན་,,–[67a.2],ཐོས་,རྣམས་,ལ་,ཇི་,
1: -པགསང་+པ་གསང་,,,,,,,,,,,,
,ཐེག་,པ་,ཆེན་,པོ་,བསླབ་,པགསང་,པ་གསང་,བར་,བྱས་,ན་,ནི་,
1: +–[67a.3],,,,,,,,,,,,
,།,_,།,ཞེས་,སྨྲ་,,–[67a.3],བའི་,རིགས་,སོ,།,
1: -བརརང་+བར་རང་,,,,,,,,,,,,
,བདག་,བྲན་,གཟའ་ཅན་,དང་,འདྲ་,བརརང་,བར་རང་,གི་,སྲས་,ཚར་,ཕྱིན་,
1: +–[67a.4],,,,,,,,,,,,
,བྱེད་,དོ,།,_,།,,–[67a.4],རིགས་,ཀྱི་,བུ་,གཞན་,
1: +–[67a.5],,,,,,,,,,,,
,འབེབས་,སམ་,དེ་,བཞིན་,དུ་,,–[67a.5],དེང་,ངས་,ཡོངས་,སུ་,
1: +–[67a.6],,,,,,,,,,,,
,_,།,མཁའ་,ལ་,བྱ་,,–[67a.6],རྣམས་,རྗེས་,འདྲ་,བར,
1: +–[67a.7],,,,,,,,,,,,
,བ་,ཡིན,།,_,།,,–[67a.7],དེ་,ལ་,རིན་,པོ་,
1: +–[67b]–[67b.1],,,,,,,,,,,,
,།,_,།,གང་,ནོར་,,–[67b]–[67b.1],ཡོངས་,སུ་,བསགས་,པར་,
1: +–[67b.2],,,,,,,,,,,,
,དེ་,ལ་,ཉན་,ཐོས་,ནི་,,–[67b.2],འདུས་,བྱས་,ཡོངས་,སུ་,
1: +–[67b.3],,,,,,,,,,,,
,འདུས་,བྱས་,ཀྱི་,དགེ་,འདུན་,,–[67b.3],ཞེས་,བྱ་,བ་,ནི་,
1: +–[67b.4],,,,,,,,,,,,
,།,_,ཏིལ་,ཙམ་,ཡང་,,–[67b.4],ཡོངས་,སུ་,བསགས་,པར་,
1: +–[67b.5],,,,,,,,,,,,
,།,_,དེ་,དག་,ནི་,,–[67b.5],ཟས་,ཡོངས་,སུ་,ཤེས་,
1: +–[67b.6],,,,,,,,,,,,
,གཅད་,དཀའོ་,ཞེས་,དེ་,བཞིན་,,–[67b.6],གཤེགས་,པ་,གསུང་,ངོ་,
1: +–[67b.7],,,,,,,,,,,,
,པ་,ལ་,གསང་,བའི་,ཆོས་,,–[67b.7],བསྟན་,པ་,ག་,ལ་,
1: -སྐུར་+སྐར་–[68a]–[68a.1],,,,,,,,,,,,
,མཇུག་,རིངས་,དང་,།,_,སྐུར་,སྐར་–[68a]–[68a.1],མའི་,ཚོགས་,རྣམས་,དང་,
1: -དུསུ_+དུས་,,,,,,,,,,,,
,རི་,རྣམས་,དང་,།,_,དུསུ_,དུས་,དང་,།,_,སྤྲིན་,
1: +–[68a.2],,,,,,,,,,,,
,།,_,དེ་,བཞིན་,གཤེགས་,,–[68a.2],པ་,རྟག་,པ་,དང་,
1: +–[68a.3],,,,,,,,,,,,
,།,ཆེན་,པོ་,ཞེས་,བྱ་,,–[68a.3],བ་,ནི་,ལྷག་,མ་,
1: +–[68a.4],,,,,,,,,,,,
,རྟོགས་,པ་,བརྒྱད་,ཀྱིས་,སྐྱེས་,,–[68a.4],བུ་,གཅིག་,པུར་,འགྱུར་,
1: +–[68a.5],,,,,,,,,,,,
,པའི་,མྱ་,ངན་,ལས་,འདས་,,–[68a.5],པ་,ཞེས་,བྱ་,བ་,
1: +–[68a.6],,,,,,,,,,,,
,རྔུ་,འབྱིན་,པའི་,སྨན་,པ་,,–[68a.6],ཆེན་,པོ་,ཞིག་,གིས་,
1: -བསལན་ས་+བསལ་ནས་,,,,,,,,,,,,
,_,གདུག་,པའི་,ཟུག་,རྔུ་,བསལན་ས་,བསལ་ནས་,བདེ་,བར་,བྱས་,ཏེ་,
1: +–[68a.7],,,,,,,,,,,,
,དེ་,ན་,གནས་,པ་,དེ་,,–[68a.7],བཞིན་,དུ་,དེ་,བཞིན་,
1: +–[68b]–[68b.1],,,,,,,,,,,,
,སོགས་,པ་,ཉོན་,མོངས་,པའི་,,–[68b]–[68b.1],དུག་,གིས་,ཕོག་,པའི་,
1: -ཚནསྣ་+ཚན་སྣ་,,,,,,,,,,,,
,པ་,ཆེན་,པོའི་,མདོའི་,སྡེ་,ཚནསྣ་,ཚན་སྣ་,ཚོགས་,ཀྱི་,དགེ་,བའི་,
1: +–[68b.2],,,,,,,,,,,,
,རྣམས་,ཡོད་,པ་,དེར་,བཅོམ་,,–[68b.2],ལྡན་,འདས་,ཡང་,དག་,
1: -འདུལ_+འདུལ་,,,,,,,,,,,,
,ཏེ,།,_,གང་,ན་,འདུལ_,འདུལ་,བར་,བྱ་,བ་,རྣམས་,
1: +–[68b.3],,,,,,,,,,,,
,འདུལ་,བར་,བྱ་,བ་,རྣམས་,,–[68b.3],ཡོད་,པ་,དེར་,རྫོགས་,
1: +–[68b.4],,,,,,,,,,,,
,སོས་,པར་,བགྱིས་,ནས་,ཡུལ་,,–[68b.4],དང་,།,_,གྲོང་,
1: +–[68b.5],,,,,,,,,,,,
,ཅེས་,དེ་,སྐད་,མ་,ཟེར་,,–[68b.5],ཅིག,_,།,གསོར་,
1: +–[68b.6],,,,,,,,,,,,
,ནད་,ཐམས་,ཅད་,གསོ་,བར་,,–[68b.6],མཛད་,དེ,།,_,
1: -_+_–[68b.7],,,,,,,,,,,,
,མ་,ཡིན་,པ་,སྟེ,།,_,_–[68b.7],གཟུགས་,ཅན་,མ་,ཡིན་,
1: +–[69a]–[69a.1],,,,,,,,,,,,
,གསོལ་,པ,།,_,ཅིའི་,,–[69a]–[69a.1],སླད་,དུ་,ལགས,།,
1: +–[69a.2],,,,,,,,,,,,
,ནོ,།,_,།,གསོལ་,,–[69a.2],པ,།,_,འདུ་,
1: +–[69a.3],,,,,,,,,,,,
,ཏེ,།,_,ཉན་,ཐོས་,,–[69a.3],དང་,རང་,སངས་,རྒྱས་,
1: +–[69a.4],,,,,,,,,,,,
,གསོལ་,པ,།,_,བཅོམ་,,–[69a.4],ལྡན་,འདས་,དེ་,བཞིན་,
1: -སོ_+སོ་,,,,,,,,,,,,
,_,རིགས་,ཀྱི་,བུ་,ལེགས་,སོ_,སོ་,ལེགས་,སོ,།,_,
1: -_+_–[69a.5],,,,,,,,,,,,
,ཡང་,བཀའ་,སྩལ་,པ,།,_,_–[69a.5],ཐར་,པ་,ཞེས་,བྱ་,
1: -འདི།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_+འདི་,,,,,,,,,,,,
,པ་,ཞེས་,བྱ་,བ་,ནི་,འདི།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,འདི་,ལྟར་,མར་,གྱི་,སྙིང་,
1: +–[69a.6],,,,,,,,,,,,
,ལྟར་,མར་,གྱི་,སྙིང་,ཁུ་,,–[69a.6],རང་,བཞིན་,གྱིས་,རང་,
1: +–[69a.7],,,,,,,,,,,,
,དེ་,ནི་,དེ་,བཞིན་,གཤེགས་,,–[69a.7],པས་,ཏེ་མ་,བྱུང་,བ་,
1: -ཏེམ་+ཏེ་མ་,,,,,,,,,,,,
,དེ་,བཞིན་,གཤེགས་,–[69a.7],པས་,ཏེམ་,ཏེ་མ་,བྱུང་,བ་,བྱུང་,བའི་,
1: -སྲནསྡེའུའམ+སྲན་སྡེའུའམ,,,,,,,,,,,,
,།,_,།,དཔེར་,ན་,སྲནསྡེའུའམ,སྲན་སྡེའུའམ,།,_,སྲན་,གྲེའུ་,
1: +–[69b]–[69b.1],,,,,,,,,,,,
,མ་,བྱུང་,བ་,གང་,ཡིན་,,–[69b]–[69b.1],པ་,དེ་,ཐར་,པའོ,
1: +–[69b.2],,,,,,,,,,,,
,བཞིན་,གཤེགས་,པ་,ནི་,རང་,,–[69b.2],བཞིན་,གྱིས་,མ་,བྱུང་,
1: +–[69b.3],,,,,,,,,,,,
,ཐར་,པའོ,།,_,།,,–[69b.3],དེ་,ནི་,དེ་,བཞིན་,
1: +–[69b.4],,,,,,,,,,,,
,པ་,གང་,ཡིན་,པ་,དེ་,,–[69b.4],ནི་,དེ་,བཞིན་,གཤེགས་,
1: +–[69b.5],,,,,,,,,,,,
,ཡོངས་,སུ་,མྱ་,ངན་,ལས་,,–[69b.5],འདས་,པ་,ཆེན་,པོར་,
1: -པནི་+པ་ནི་,,,,,,,,,,,,
,དུ་,སྨོས་,པ་,རྣམས་,མེད་,པནི་,པ་ནི་,ཐར་,པ་,ཡིན་,ཏེ,
1: -_+_–[69b.6],,,,,,,,,,,,
,ཐར་,པ་,ཡིན་,ཏེ,།,_,_–[69b.6],དེ་,བས་,ན་,རྒ་,
1: +–[69b.7],,,,,,,,,,,,
,མེད་,པའི་,སྐུ་,ཡིན་,ན་,,–[69b.7],འཆི་,བར་,ལྟ་,ག་,
1: +–[70a]–[70a.1],,,,,,,,,,,,
,པ་,གང་,ཡིན་,པ་,དེ་,,–[70a]–[70a.1],ནི་,དེ་,བཞིན་,གཤེགས་,
1: -ན་དག་+ནད་ག་,,,,,,,,,,,,
,ན་,ཆོས་,ཀྱི་,སྐུ་,ལ་,ན་དག་,ནད་ག་,ལ་,ཡོད,།,_,
1: +–[70a.2],,,,,,,,,,,,
,མིའི་,ལུས་,བཞིན་,དུ་,འཆི་,,–[70a.2],བ་,མེད་,པའོ,།,
1: +–[70a.3],,,,,,,,,,,,
,དེ་,ལྟ་,བུའི་,ཡོན་,ཏན་,,–[70a.3],དང་,ལྡན་,པ་,ལ་,
1: +–[70a.4],,,,,,,,,,,,
,བས་,མ་,རུང་,བར་,གྱུར་,,–[70a.4],པ་,མ་,ཡིན་,ཏེ,
1: -དད་ཀར་+ད་དཀར་,,,,,,,,,,,,
,ལྟར་,མེ་,ཏོག་,ཀུ་,མུ་,དད་ཀར་,ད་དཀར་,པོ་,བཞིན་,དུ་,གསལ་,
1: +–[70a.5],,,,,,,,,,,,
,བཞིན་,གཤེགས་,པ་,ནི་,ཉོན་,,–[70a.5],མོངས་,པ་,ཅན་,མ་,
1: +–[70a.6],,,,,,,,,,,,
,མེད་,པ་,ཞེས་,བྱ་,བ་,,–[70a.6],ནི་,ཇི་,ལྟར་,བཀྲེས་,
1: +–[70a.7],,,,,,,,,,,,
,པ་,རྣམས་,ཀྱི་,ནི་,ལྷའི་,,–[70a.7],གཟུགས་,ལ་,ཞི་,བ་,
1: +–[70b]–[70b.1],,,,,,,,,,,,
,པའོ,།,_,།,ཐར་,,–[70b]–[70b.1],པ་,གང་,ཡིན་,པ་,
1: +–[70b.2],,,,,,,,,,,,
,བཅོས་,མ་,མ་,ཡིན་,པའི་,,–[70b.2],བདེ་,བ་,ནི་,ཐར་,
1: +–[70b.3],,,,,,,,,,,,
,པོ་,ཤིར་,དོགས་,ཤིང་,འཇིགས་,,–[70b.3],པ་,བཞིན་,དུ་,ཐར་,
1: +–[70b.4],,,,,,,,,,,,
,པ་,ལ་,ཡང་,ཐར་,པའི་,,–[70b.4],ཆོས་,གཞན་,ཟླར་,གྱུར་,
1: +–[70b.5],,,,,,,,,,,,
,པར་,རྫོགས་,པའི་,སངས་,རྒྱས་,,–[70b.5],ནི་,གཉེན་,པོ་,མེད་,
1: +–[70b.6],,,,,,,,,,,,
,འཁོར་,བཅོམ་,ཞིང་,བཤིག་,པ་,,–[70b.6],ན་,ཤིན་,ཏུ་,མྱ་,
1: -མཚུགས་+མ་ཚུགས་,,,,,,,,,,,,
,ལྟར་,རྒྱལ་,པོ་,གཞན་,གྱིས་,མཚུགས་,མ་ཚུགས་,ཏེ་,དགྲ་,དང་,བྲལ་,
1: +–[70b.7],,,,,,,,,,,,
,པའོ,།,_,།,མྱ་,,–[70b.7],ངན་,ལས་,འདས་,པ་,
1: +–[71a]–[71a.1],,,,,,,,,,,,
,པ་,ནི་,དེ་,ལྟ་,མ་,,–[71a]–[71a.1],ཡིན་,ཏེ,།,_,
1: +–[71a.2],,,,,,,,,,,,
,པས་,ས་,རྡུལ་,བསླང་,བ་,,–[71a.2],བཞིན་,དུ་,ཐར་,པ་,
1: -གསེར།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཇིག་པ་ཆེན་པོའི་མདོ_+གསེར་,,,,,,,,,,,,
,བྱ་,བ་,ནི་,ཇི་,ལྟར་,གསེར།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཇིག་པ་ཆེན་པོའི་མདོ_,གསེར་,ཡོངས་,སུ་,དག་,–[71a.3],
1: +–[71a.3],,,,,,,,,,,,
,ལྟར་,གསེར་,ཡོངས་,སུ་,དག་,,–[71a.3],པ་,སྟེ,།,_,
1: -པསོབ་+པ་སོབ་,,,,,,,,,,,,
,སོབ་,སོབ་,པོ་,མ་,ཡིན་,པསོབ་,པ་སོབ་,སོབ་,པོ་,མ་,ཡིན་,
1: +–[71a.4],,,,,,,,,,,,
,ཞོའི་,བུམ་,པ་,གས་,པ་,,–[71a.4],བཞིན་,དུ་,ཐར་,པ་,
1: -ར་ཎྜའི་+རཎྜའི་–[71a.5],,,,,,,,,,,,
,བ་,ནི་,ཇི་,ལྟར་,ཨེ་,ར་ཎྜའི་,རཎྜའི་–[71a.5],འབྲས་,བུ་,བརྔས་,ནས་,
1: +–[71a.6],,,,,,,,,,,,
,སྟོང་,གི་,མདས་,འཕངས་,ཀྱང་,,–[71a.6],ཕིགས་,པར་,མི་,ནུས་,
1: +–[71a.7],,,,,,,,,,,,
,ལག་,ཏུ་,འོངས་,ནས་,ཉོན་,,–[71a.7],མོངས་,སུ་,ཟིན་,ཀྱང་,
1: +–[71b]–[71b.1],,,,,,,,,,,,
,གཤེགས་,པའོ,།,_,།,,–[71b]–[71b.1],ཅི་,བྱར་,ཡང་,མེད་,
1: -དེསེམས་+དེས་སེམས་,,,,,,,,,,,,
,པོ་,བླང་,ངོ་,སྙམ་,ནས་,དེསེམས་,དེས་སེམས་,ཁོངས་,སུ་,ཆུད་,པ་,
1: -ཅི།བ_+ཅི་,,,,,,,,,,,,
,མ་,ཡིན་,ཏེ,།,_,ཅི།བ_,ཅི་,བྱར་,ཡང་,མེད་,པའི་,
1: +–[71b.2],,,,,,,,,,,,
,བ་,ནི་,ཇི་,ལྟར་,ཁྱིམ་,,–[71b.2],བདག་,ནོར་,བྱེ་,བ་,
1: +–[71b.3],,,,,,,,,,,,
,ནི་,ཕྱི་,སྲིད་,དུ་,བྱ་,,–[71b.3],བའི་,ཕྱིར་,གཞན་,ལས་,
1: -སྐྱིནམ་+སྐྱིན་མ་,,,,,,,,,,,,
,–[71b.3],བའི་,ཕྱིར་,གཞན་,ལས་,སྐྱིནམ་,སྐྱིན་མ་,ལེན་,ཅེའམ,།,_,
1: +–[71b.4],,,,,,,,,,,,
,པའོ,།,_,།,ཐར་,,–[71b.4],པ་,གང་,ཡིན་,པ་,
1: +–[71b.5],,,,,,,,,,,,
,བདག་,ཉིད་,གནོད་,པ་,རྣམས་,,–[71b.5],ཀྱིས་,ཉེས་,པ་,དེ་,
1: +–[71b.6],,,,,,,,,,,,
,ནོ,།,_,།,གནོད་,,–[71b.6],པ་,མེད་,པ་,ཞེས་,
1: +–[71b.7],,,,,,,,,,,,
,མེད་,པའི་,ཆོས་,ཅན་,ཞེས་,,–[71b.7],བྱ་,བ་,ནི་,ཇི་,
1: +–[72a]–[72a.1],,,,,,,,,,,,
,།,གནོད་,པ་,མེད་,པའི་,,–[72a]–[72a.1],ཆོས་,ཅན་,ཞེས་,བྱ་,
1: -ཁརབ་+ཁར་བ་,,,,,,,,,,,,
,ལོས་,སྒྱུར་,བའི་,རྒྱལ་,པོའི་,ཁརབ་,ཁར་བ་,རིན་,པོ་,ཆེའི་,གཟི་,
1: -པསྦུར་+པ་སྦུར་,,,,,,,,,,,,
,བརྗིད་,ཀྱིས་,སྲོག་,ཆགས་,གདུག་,པསྦུར་,པ་སྦུར་,བུ་,དང་,།,_,
1: -ཁརབ་+–[72a.2]ཁར་བ་,,,,,,,,,,,,
,དེའི་,དྲི་,ཚོར་,བ་ཙམ་,གྱིས་,ཁརབ་,–[72a.2]ཁར་བ་,རིན་,པོ་,ཆེའི་,རང་,
1: +–[72a.3],,,,,,,,,,,,
,སྔོན་,པོ་,དང་,ལྗང་,གུའི་,,–[72a.3],ཁ་,དོག་,ལྟ་,བུ་,
1: -དོག_+དོག་,,,,,,,,,,,,
,དང་,ལྗང་,གུའི་,–[72a.3],ཁ་,དོག_,དོག་,ལྟ་,བུ་,མ་,ཡིན་,
1: +–[72a.4],,,,,,,,,,,,
,ཐར་,པ་,ནི་,དེ་,ལྟ་,,–[72a.4],མ་,ཡིན་,ཏེ,།,
1: +–[72a.5],,,,,,,,,,,,
,དེ་,ནི་,དེ་,བཞིན་,གཤེགས་,,–[72a.5],པའོ,།,_,།,
1: +–[72a.6],,,,,,,,,,,,
,དེ་,ནི་,དེ་,བཞིན་,གཤེགས་,,–[72a.6],པའོ,།,_,།,
1: -དགོས།ད_+དགོས་,,,,,,,,,,,,
,ཇི་,ལྟར་,རས་,དཀར་,པོ་,དགོས།ད_,དགོས་,པ་,འགའི་,ཕྱིར་,བསྒྱུར་,
1: +–[72a.7],,,,,,,,,,,,
,ཐར་,པ་,ཡང་,དེ་,དང་,,–[72a.7],འདྲ་,སྟེ,།,_,
1: +–[72b]–[72b.1],,,,,,,,,,,,
,ཡིན་,ཏེ,།,_,ངོ་,,–[72b]–[72b.1],མཚར་,ཞེས་,བྱ་,བ་,
1: +–[72b.2],,,,,,,,,,,,
,སྐྱེ་,བ་,དེ་,བཞིན་,དུ་,,–[72b.2],ཐར་,པ་,ནི་,དུས་,
1: +–[72b.3],,,,,,,,,,,,
,དགེ་,བསྙེན་,དུ་,གྱུར་,པ་,,–[72b.3],དེའི་,ཚེ་,ཐར་,པ་,
1: +–[72b.4],,,,,,,,,,,,
,དམིགས་,པ་,ལ་,ནི་,ཆོས་,,–[72b.4],རྣམས་,སྐྱེ་,བ་,མེད་,
1: +–[72b.5],,,,,,,,,,,,
,པ་,ཞེས་,བྱ་,བ་,ནི་,,–[72b.5],ཇི་,ལྟར་,རྒྱ་,མཚོའི་,
1: -ཏུ།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_+ཏུ་,,,,,,,,,,,,
,ལྟར་,རྒྱ་,མཚོའི་,ཆུ་,དཔག་,ཏུ།_འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།_།_,ཏུ་,མེད་,པ་,དེ་,བཞིན་,
1: +–[72b.6],,,,,,,,,,,,
,པ་,ཚད་,ཡོད་,པའི་,ཆོས་,,–[72b.6],ཅན་,ཡིན་,པ་,བཞིན་,
1: +–[72b.7],,,,,,,,,,,,
,_,།,མཆོག་,དང་,ཕུལ་,,–[72b.7],དང་,གཙོ་,བོ་,མཆོག་,
1: +–[73a]–[73a.1],,,,,,,,,,,,
,ཕུལ་,དང་,གཙོ་,བོ་,ཡིན་,,–[73a]–[73a.1],ནོ,།,_,།,
1: -ར་བར་བ་+རབ་རབ་,,,,,,,,,,,,
,གཤེགས་,པའོ,།,_,།,ར་བར་བ་,རབ་རབ་,ཅེས་,བྱ་,བ་,ནི་,
1: -ནནམ་+ན་ནམ་,,,,,,,,,,,,
,ཇི་,ལྟར་,ནམ་,མཁའི་,གོང་,ནནམ་,ན་ནམ་,མཁའ་,གཞན་,ནམ་,ནམ་,
1: +–[73a.2],,,,,,,,,,,,
,།,_,ཐར་,པ་,གང་,,–[73a.2],ཡིན་,པ་,དེ་,ནི་,
1: +–[73a.3],,,,,,,,,,,,
,གཤེགས་,པའོ,།,_,།,,–[73a.3],བླ་,མ་,བླ་,མ་,
1: +–[73a.4],,,,,,,,,,,,
,པ་,ལ་,ཡུལ་,བླ་,ན་,,–[73a.4],མེད་,པ་,ཞེས་,བྱ་,
1: -ཀའ་འགྱུར།_མདོ་སྡེ།_ཐཀ_བ་,,,,,,,,,,,,
,མེད་,པ་,ཞེས་,བྱ་,བ་,ཀའ་འགྱུར།_མདོ་སྡེ།_ཐཀ_བ་,,བཞིན་,དུ་,ཐར་,པ་,
1: +–[73a.5],,,,,,,,,,,,
,བཞིན་,དུ་,ངེས་,པ་,དང་,,–[73a.5],གནས་,པའི་,ཆོས་,ཅན་,
1: -རཎྜབ་+རཎྜ་བ་,,,,,,,,,,,,
,བུ་,དང་,།,_,ཨེ་,རཎྜབ་,རཎྜ་བ་,དང་,།,_,ལྦུ་,
1: -སྙིངཁུ་+སྙིང་ཁུ་–[73a.6],,,,,,,,,,,,
,བྱ་,བ་,ནི་,མར་,གྱི་,སྙིངཁུ་,སྙིང་ཁུ་–[73a.6],ལྟ་,བུའོ,།,_,
1: -རྩིགངོས་+རྩིག་ངོས་,,,,,,,,,,,,
,བྱ་,བ་,ནི་,ཇི་,ལྟར་,རྩིགངོས་,རྩིག་ངོས་,ལ་,སྦྲང་,བུ་,འཁོད་,
1: +–[73a.7],,,,,,,,,,,,
,།,_,ཁ་,ཅིག་,ནི་,,–[73a.7],འགྲོ,།,_,ཁ་,
1: +–[73b]–[73b.1],,,,,,,,,,,,
,།,_,ཐར་,པ་,གང་,,–[73b]–[73b.1],ཡིན་,པ་,དེ་,ནི་,
1: +–[73b.2],,,,,,,,,,,,
,གཤེགས་,པའོ,།,_,།,,–[73b.2],བསྟན་,དུ་,མེད་,པ་,
1: -འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཕེག་པ་ཆེན་པོའི་མདོ_,,,,,,,,,,,,
,ཤིན་,ཏུ་,ཤ་,ཐང་,བས་,འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཕེག་པ་ཆེན་པོའི་མདོ_,,འཇུག་,པའི་,ཆོས་,ཅན་,
1: +–[73b.3],,,,,,,,,,,,
,_,ཇི་,ལྟར་,ཕ་,མ་,,–[73b.3],དཀའ་,བ་,བྱེད་,པའི་,
1: +–[73b.4],,,,,,,,,,,,
,མགོ་,བོའི་,སྟེང་,ཤིན་,ཏུ་,,–[73b.4],བལྟ་,དཀའ་,བ་,དེ་,
1: -དག་ས་+དགས་,,,,,,,,,,,,
,དང་,ནམ་,མཁའི་,ཚིག་,བླ་,དག་ས་,དགས་,ཏེ,།,_,ཐར་,
1: +–[73b.5],,,,,,,,,,,,
,པ་,ནི་,དེ་,ལྟ་,མ་,,–[73b.5],ཡིན་,ནོ,།,_,
1: -ཆངཔར་+ཆང་པར་,,,,,,,,,,,,
,བ་,ནི་,ཇི་,ལྟར་,མིའི་,ཆངཔར་,ཆང་པར་,སྐྱུ་,རུ་,ར་,–[73b.6],
1: +–[73b.6],,,,,,,,,,,,
,མིའི་,ཆང་པར་,སྐྱུ་,རུ་,ར་,,–[73b.6],གཟུང་,དུ་,ཡོད་,པ་,
1: +–[73b.7],,,,,,,,,,,,
,།,_,།,སྐྱོན་,མེད་,,–[73b.7],པའི་,ལུས་,སྐྱོན་,མེད་,
1: -སྨེ_+སྨེ་,,,,,,,,,,,,
,ཇི་,ལྟར་,མིའི་,ལུས་,ལ་,སྨེ_,སྨེ་,བ་,དང་,།,_,
1: +–[74a]–[74a.1],,,,,,,,,,,,
,བཞིན་,གྱིས་,མདོག་,གཅིག་,པ་,,–[74a]–[74a.1],བཞིན་,དུ་,ཐར་,པ་,
1: +–[74a.2],,,,,,,,,,,,
,ཐར་,པ་,ནི་,དེ་,ལྟ་,,–[74a.2],མ་,ཡིན་,ནོ,།,
1: -_+_–[74a.3],,,,,,,,,,,,
,པ་,དང་,འདྲ་,སྟེ,།,_,_–[74a.3],ཟླ་,བ་,སྤྲིན་,གྱིས་,
1: +–[74a.4],,,,,,,,,,,,
,ལ་,ཐར་,པ་,ནི་,སེམས་,,–[74a.4],ཅན་,ནད་,མེད་,ཅིང་,
1: +–[74a.5],,,,,,,,,,,,
,དང་,བུ་,འཐུན་,པར་,སྨྲ་,,–[74a.5],བ་,དེ་,བཞིན་,དུ་,
1: +–[74a.6],,,,,,,,,,,,
,ཟོས་,པའི་,འོག་,ཏུ་,དར་,,–[74a.6],བ་,བཏུང་,བའི་,སེམས་,
