Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
,ཉེ་,མི་,བསྙེན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ངོ་,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཡིན་,པས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,–[170a]–[170a.1],བུ་,དེ་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,འདི་,ལྟ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,བྱེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,པར་,གྱུར་,ཏེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,རོ་,གསུམ་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ནི་,
,ཐོབ་,བོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེ་,ཉུང་,
,བར་,འགྲོའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,སྲེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ལྟུང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སེམས་,ཉམས་,
,ཕན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,མིང་,
,ཞེན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གྱོ་,མོའི་,
,མཆིས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མིས་,གཙང་,
,འབྲང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གང་,ལ་,
,དུ་,སྐྱེའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,དེ་,
,ནུས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངན་,པའི་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,ཀྱི་,
,བསྙེན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,སྤོས་,
,།,_,།,དེ་,སྟེ་,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱིམ་,ན་,
,དུ་,སྐྱེའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,སྤངས་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,སྤོས་,
,དེ་,ལྟ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱིམ་,ན་,
,འདྲེས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,སོང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མའོ,།།,_,།།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཕྱིར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,སྐུར་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ན་,
,སྟོན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ངན་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ད་ངས་–[173b.7]མངོན་,ཞིང་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,བཤིག་,གོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདི་,ལྟ་,
,བསྲིངས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདི་,ལྟ་,
,བརྗོད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ད་,ལྟར་,
,ཀྱང་,ཅི་,དགོས,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,–[174b.2],སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བདུད་,ངན་,
,ཟེར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,བཅད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ཙམ་,
,མཚུངས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,རུང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ཚེ་,
,ཚོལ་,ལོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ལེ་,ལོ་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ཚེ་,
,ཟེར་,རོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ནང་,
,སོང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,–[176a.2],དེའི་,
,ཞན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ཚེ་,
,བྱས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ནུས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟར་,
,ནུས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,འཛེར་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེའི་,ནང་,
,བྱས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,དེས་,
,_,།,དེ་,ལྟ་,སྟེ་,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ངན་,
,བྱས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ལེ་,ལོ་,
,གཤེའོ,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,གཙང་,
,བྱས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱིམ་,ན་,
